class,precision,recall,f1,support,tp,fp,fn,tn
a 5-10mm polyp is present with no text detected.,0.0,0.0,0.0,1,0,0,1,4698
"a polyp snare and tube are visible, no green/black box artifact is present, and the image is from a colonoscopy procedure.",0.0,0.0,0.0,1,0,0,1,4698
a single 5- to 10-millimeter polyp is present along with two surgical instruments.,0.0,0.0,0.0,1,0,0,1,4698
a single finding is present along with visible text and a tube.,0.0,0.0,0.0,1,0,0,1,4698
a single polyp greater than 20 millimeters in size is present with no instruments visualized.,0.0,0.0,0.0,1,0,0,1,4698
a single polyp is identified without any associated artifacts.,0.0,0.0,0.0,1,0,0,1,4698
"a single polyp measuring 11 to 20 millimeters is identified, showing features consistent with a paris ip type lesion.",0.0,0.0,0.0,1,0,0,1,4698
a single sessile polyp measuring more than 20 millimeters is identified.,0.0,0.0,0.0,1,0,0,1,4698
a single tube is present,0.0,0.0,0.0,2,0,0,2,4697
a single tube is present in the image with visible text,0.0,0.0,0.0,1,0,0,1,4698
"a single tube is present, consistent with a colonoscopy procedure.",0.0,0.0,0.0,1,0,0,1,4698
a single tube is visible,0.0,0.0,0.0,1,0,0,1,4698
a single tube is visible in the image and text is present.,0.0,0.0,0.0,2,0,0,2,4697
a single tube is visible in the image with no text detected.,0.0,0.0,0.0,1,0,0,1,4698
a single tube is visible in the image with no text observed.,0.0,0.0,0.0,1,0,0,1,4698
a single tube is visible in the image with text identified.,0.0,0.0,0.0,1,0,0,1,4698
"a single tube is visible in the image, no polyps are noted, and no green or black box artefact is present.",0.0,0.0,0.0,1,0,0,1,4698
a single tube is visible in the upper-left quadrant with a small polyp noted in the central region.,0.0,0.0,0.0,1,0,0,1,4698
"a single tube is visible without any green or black box artifacts, and the procedure appears to be a colonoscopy.",0.0,0.0,0.0,1,0,0,1,4698
a single tube is visualized in the gastrointestinal tract with no residual polyps observed.,0.0,0.0,0.0,1,0,0,1,4698
"a single tubular device is visible without any artifact, indicating a colonoscopy procedure.",0.0,0.0,0.0,1,0,0,1,4698
a single tubular structure is observed in the field of view with no evidence of green or black box artifacts.,0.0,0.0,0.0,1,0,0,1,4698
a tube is present and no box artifact is noted.,0.0,0.0,0.0,1,0,0,1,4698
a tube is present in the abdominal region,0.0,0.0,0.0,1,0,0,1,4698
a tube is visible in the anatomical region and a green/black box artifact is present.,0.0,0.0,0.0,1,0,0,1,4698
"a tube is visible, polyp removal is not applicable, and no green/black box artefact is present.",0.0,0.0,0.0,1,0,0,1,4698
a tubular instrument is present in the gastrointestinal tract and a paris ip polyp is identified.,0.0,0.0,0.0,1,0,0,1,4698
adenomatous polyp measuring 5 to 10 millimeters,0.0,0.0,0.0,1,0,0,1,4698
adenomatous polyp noted in the colon,0.0,0.0,0.0,1,0,0,1,4698
adenomatous polyp seen in rectum,0.0,0.0,0.0,2,0,0,2,4697
all polyps have been completely removed with no anatomical landmarks identified.,0.0,0.0,0.0,1,0,0,1,4698
all polyps have been successfully removed with no residual text observed and a paris classification noted.,0.0,0.0,0.0,1,0,0,1,4698
