class,precision,recall,f1,support,tp,fp,fn
a 11 to 20 millimeter polyp,0.0,0.0,0.0,1,0,0,1
a 5 to 10 millimeter polyp is present,0.0,0.0,0.0,1,0,0,1
a 5-10 millimeter polyp is seen,0.0,0.0,0.0,1,0,0,1
a 5-10mm polyp is present in the colon,0.0,0.0,0.0,1,0,0,1
a green/black box artefact is present,0.0,0.0,0.0,1,0,0,1
a green/black box artefact is visible,0.0,0.0,0.0,1,0,0,1
a metal clip,0.0,0.0,0.0,1,0,0,1
a paris ip polyp is identified,0.0,0.0,0.0,2,0,0,2
a pedunculated polyp measuring greater than 20 millimeters is present.,0.0,0.0,0.0,1,0,0,1
a polyp is identified in the colonic region,0.0,0.0,0.0,1,0,0,1
a polyp less than 5 millimeters in size is observed,0.0,0.0,0.0,1,0,0,1
a single instrument is present with a green-black box artifact noted.,0.0,0.0,0.0,1,0,0,1
a single tube is present,0.0,0.0,0.0,1,0,0,1
a single tube is visible,0.0,0.0,0.0,6,0,0,6
a single tube is visible with no green or black box artefacts and text is present.,0.0,0.0,0.0,1,0,0,1
a single tube is visible without any artefacts,0.0,0.0,0.0,1,0,0,1
a single tube is visible without any green or black box artefacts,0.0,0.0,0.0,3,0,0,3
a single tubular device is observed,0.0,0.0,0.0,1,0,0,1
a single tubular device is visible,0.0,0.0,0.0,1,0,0,1
a single tubular device is visualized,0.0,0.0,0.0,3,0,0,3
a single tubular instrument is present without any box artefacts,0.0,0.0,0.0,1,0,0,1
a single tubular instrument is present without any green or black box artefacts,0.0,0.0,0.0,1,0,0,1
a single tubular instrument is visualized,0.0,0.0,0.0,2,0,0,2
a tube is present,0.0,0.0,0.0,2,0,0,2
a tube is present in the gastrointestinal tract,0.0,0.0,0.0,1,0,0,1
a tube is visible,0.0,0.0,0.0,5,0,0,5
a tubular device is present,0.0,0.0,0.0,2,0,0,2
a tubular instrument is present,0.0,0.0,0.0,4,0,0,4
a tubular instrument is visible,0.0,0.0,0.0,1,0,0,1
all detected polyps have been completely removed with sizes ranging between 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
along with the z-line,0.0,0.0,0.0,1,0,0,1
and a green/black box artefact is visible.,0.0,0.0,0.0,2,0,0,2
and a hyperplastic polyp is identified.,0.0,0.0,0.0,1,0,0,1
and a metal clip is visible during a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
and a paris classification polyp is identified.,0.0,0.0,0.0,1,0,0,1
and a paris iia polyp is identified.,0.0,0.0,0.0,1,0,0,1
and a paris ip classification polyp is identified.,0.0,0.0,0.0,1,0,0,1
and a paris ip polyp is identified.,0.0,0.0,0.0,2,0,0,2
and a paris ip polyp is present.,0.0,0.0,0.0,1,0,0,1
and a paris type i polyp are present.,0.0,0.0,0.0,1,0,0,1
and a paris type i polyp is present.,0.0,0.0,0.0,1,0,0,1
and a paris-type polyp is present.,0.0,0.0,0.0,3,0,0,3
and a polyp is present in the image.,0.0,0.0,0.0,1,0,0,1
and a polyp larger than 20 millimeters is identified.,0.0,0.0,0.0,1,0,0,1
and a polyp measuring 11 to 20 millimeters are present.,0.0,0.0,0.0,1,0,0,1
and a polyp measuring 11 to 20 millimeters is present.,0.0,0.0,0.0,1,0,0,1
and a polyp measuring 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and a polyp measuring 5 to 10 millimeters is identified.,0.0,0.0,0.0,1,0,0,1
and a residual polyp measures 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
and a sessile polyp is identified.,0.0,0.0,0.0,1,0,0,1
and a sessile polyp is present.,0.0,0.0,0.0,1,0,0,1
and a sessile serrated polyp is present.,0.0,0.0,0.0,1,0,0,1
and a single polyp measuring 11 to 20 millimeters is present.,0.0,0.0,0.0,1,0,0,1
and a tube is identified.,0.0,0.0,0.0,1,0,0,1
and a tube is observed.,0.0,0.0,0.0,1,0,0,1
and a tube is present in the field of view.,0.0,0.0,0.0,1,0,0,1
and a tube is visible in the image.,0.0,0.0,0.0,1,0,0,1
and a tube visible in the upper-left quadrant,0.0,0.0,0.0,1,0,0,1
and classified as pedunculated,0.0,0.0,0.0,1,0,0,1
and evidence of esophagitis is present.,0.0,0.0,0.0,1,0,0,1
and evidence of oesophagitis is present.,0.0,0.0,0.0,1,0,0,1
and evidence of ulcerative colitis is observed.,0.0,0.0,0.0,1,0,0,1
and evidence of ulcerative colitis is present.,0.0,0.0,0.0,1,0,0,1
and green/black box artefacts noted,0.0,0.0,0.0,1,0,0,1
and image acquired during gastroscopy.,0.0,0.0,0.0,1,0,0,1
and image from a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
and image obtained during colonoscopy.,0.0,0.0,0.0,2,0,0,2
and image obtained via gastroscopy.,0.0,0.0,0.0,1,0,0,1
and it is a paris classification type polyp.,0.0,0.0,0.0,1,0,0,1
and it is a paris ip type polyp.,0.0,0.0,0.0,1,0,0,1
and it is a paris type polyp.,0.0,0.0,0.0,2,0,0,2
and it is a paris-type polyp.,0.0,0.0,0.0,1,0,0,1
and it is classified as a paris type iia polyp.,0.0,0.0,0.0,1,0,0,1
and no anatomical landmark is identified.,0.0,0.0,0.0,1,0,0,1
and no anatomical landmarks are visible.,0.0,0.0,0.0,1,0,0,1
and no box artifact is present.,0.0,0.0,0.0,1,0,0,1
and no green or black box artefact is observed.,0.0,0.0,0.0,1,0,0,1
and no green or black box artefact observed.,0.0,0.0,0.0,1,0,0,1
and no green or black box artifact is present.,0.0,0.0,0.0,1,0,0,1
and no instrument is present.,0.0,0.0,0.0,1,0,0,1
and no instruments are observed.,0.0,0.0,0.0,1,0,0,1
and no instruments are present in the image.,0.0,0.0,0.0,1,0,0,1
and no instruments are present.,0.0,0.0,0.0,1,0,0,1
and no instruments are visible.,0.0,0.0,0.0,1,0,0,1
and no polyps are identified.,0.0,0.0,0.0,1,0,0,1
and no polyps are observed.,0.0,0.0,0.0,1,0,0,1
and no polyps are present.,0.0,0.0,0.0,2,0,0,2
and no polyps require removal.,0.0,0.0,0.0,1,0,0,1
and no residual polyps are noted.,0.0,0.0,0.0,2,0,0,2
and no text is observed.,0.0,0.0,0.0,1,0,0,1
and no text is present.,0.0,0.0,0.0,1,0,0,1
and no text is visible.,0.0,0.0,0.0,2,0,0,2
and none have been removed,0.0,0.0,0.0,1,0,0,1
and not all polyps have been removed.,0.0,0.0,0.0,2,0,0,2
and oesophagitis is present.,0.0,0.0,0.0,1,0,0,1
and paris classification identified.,0.0,0.0,0.0,1,0,0,1
and polyp classified as paris type iia.,0.0,0.0,0.0,2,0,0,2
and polyp removal is not applicable.,0.0,0.0,0.0,1,0,0,1
and polyp removal is not relevant in this case.,0.0,0.0,0.0,1,0,0,1
and polyp removal status is not pertinent.,0.0,0.0,0.0,1,0,0,1
and polyps are not a relevant finding.,0.0,0.0,0.0,2,0,0,2
and procedure classified as gastroscopy.,0.0,0.0,0.0,1,0,0,1
and residual polypoid lesions noted,0.0,0.0,0.0,1,0,0,1
and text is present in the image.,0.0,0.0,0.0,7,0,0,7
and text is present.,0.0,0.0,0.0,2,0,0,2
and text is visible,0.0,0.0,0.0,1,0,0,1
and text is visible in the image.,0.0,0.0,0.0,2,0,0,2
and text is visible.,0.0,0.0,0.0,9,0,0,9
and the image corresponds to a colonoscopy.,0.0,0.0,0.0,1,0,0,1
and the image is from a colonoscopy procedure.,0.0,0.0,0.0,22,0,0,22
and the image is from a colonoscopy.,0.0,0.0,0.0,2,0,0,2
and the image is from a gastroscopy procedure.,0.0,0.0,0.0,2,0,0,2
and the image shows a colonoscopy procedure.,0.0,0.0,0.0,2,0,0,2
and the image shows a colonoscopy.,0.0,0.0,0.0,1,0,0,1
and the image shows a polyp identified during a colonoscopy.,0.0,0.0,0.0,1,0,0,1
and the image shows evidence of a polyp,0.0,0.0,0.0,1,0,0,1
and the image was obtained during a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
and the image was obtained during a colonoscopy.,0.0,0.0,0.0,10,0,0,10
and the image was obtained during a gastroscopy.,0.0,0.0,0.0,2,0,0,2
and the image was obtained via colonoscopy.,0.0,0.0,0.0,3,0,0,3
and the image was obtained via gastroscopy.,0.0,0.0,0.0,2,0,0,2
and the largest measures 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the lesion measures between 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the polyp exhibits a sessile appearance.,0.0,0.0,0.0,1,0,0,1
and the polyp is classified as paris type iia.,0.0,0.0,0.0,1,0,0,1
and the polyp is of the paris type.,0.0,0.0,0.0,1,0,0,1
and the polyp measures 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the polyp measures 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
and the polyp measures 5 to 10 millimeters.,0.0,0.0,0.0,3,0,0,3
and the polyp measures between 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the polyp measures greater than 20 millimeters.,0.0,0.0,0.0,2,0,0,2
and the polyp measures less than 5 millimeters.,0.0,0.0,0.0,4,0,0,4
and the polyp measures more than 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the polyp type is classified as paris iia.,0.0,0.0,0.0,1,0,0,1
and the polyps are of a sessile type.,0.0,0.0,0.0,1,0,0,1
and the procedure corresponds to a colonoscopy.,0.0,0.0,0.0,1,0,0,1
and the procedure is a colonoscopy.,0.0,0.0,0.0,2,0,0,2
and the procedure performed was a colonoscopy.,0.0,0.0,0.0,1,0,0,1
and the procedure was a colonoscopy.,0.0,0.0,0.0,1,0,0,1
and the procedure was a gastroscopy.,0.0,0.0,0.0,1,0,0,1
and the remaining polyp measures 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the removal status of polyps is not applicable.,0.0,0.0,0.0,1,0,0,1
and the size exceeds 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the size exceeds twenty millimeters.,0.0,0.0,0.0,1,0,0,1
and the size is less than 5 millimeters.,0.0,0.0,0.0,1,0,0,1
and the size measures 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
and the size of the polyp is 5 to 10 millimeters.,0.0,0.0,0.0,2,0,0,2
and the size of the polyp is less than 5 millimeters.,0.0,0.0,0.0,1,0,0,1
and the size of the remaining polyp is 11 to 20 millimeters.,0.0,0.0,0.0,1,0,0,1
and the sizes include 5-10mm and less than 5mm.,0.0,0.0,0.0,1,0,0,1
and the z-line is identified.,0.0,0.0,0.0,2,0,0,2
and there is evidence of oesophagitis.,0.0,0.0,0.0,1,0,0,1
and there is no indication that all polyps have been removed.,0.0,0.0,0.0,1,0,0,1
and two distinct findings noted.,0.0,0.0,0.0,1,0,0,1
and two polyps measuring 11 to 20 millimeters and 5 to 10 millimeters are present.,0.0,0.0,0.0,1,0,0,1
artifact is observed,0.0,0.0,0.0,1,0,0,1
as seen during a colonoscopy.,0.0,0.0,0.0,2,0,0,2
biopsy forceps are present,0.0,0.0,0.0,4,0,0,4
classified as a paris ip type.,0.0,0.0,0.0,1,0,0,1
classified as paris iia type,0.0,0.0,0.0,1,0,0,1
classified as paris type ii.,0.0,0.0,0.0,1,0,0,1
clear identification of the z-line is noted,0.0,0.0,0.0,1,0,0,1
