split,index,image_id,question,answer,question_type
train,36,cla820gmqs65f071ubmlm8ia9,What procedure is depicted in the image and what abnormalities are present?,findings suggest evidence of ulcerative colitis during colonoscopy.,Multi-Choice
train,655,cla820glzs54b071uavsmcevb,What procedure is depicted in the image and what abnormalities are present?,evidence of ulcerative colitis observed during colonoscopy,Multi-Choice
train,1158,cl8k2u1pr1dzn0832dry8fwxi,"What abnormalities, text, and procedural information are visible in the gastrointestinal image?","evidence of a polyp is present, text is visible, and the image is from a colonoscopy.",Multi-Choice
train,1173,clb0kvxve90jg074y814sckjn,"What abnormalities, anatomical landmarks, and instruments are present in the gastrointestinal image?","evidence of oesophagitis is observed, along with a visible z-line, and no instruments are present.",Multi-Choice
train,1319,clb0kvxwm92ew074yhil27cw5,What abnormalities are visible in the image?,evidence of barrett's esophagus and esophagitis,Multi-Choice
train,1608,cl8k2u1pw1e6b0832543j3n92,"What abnormalities, artifacts, and procedural context are visible in the gastrointestinal image?","evidence of a polyp is present, along with a green/black box artefact, and the image was obtained during a colonoscopy.",Multi-Choice
train,1823,cla820gn9s6q3071u1ntnad6g,"What procedure was performed, what abnormalities are present, and is there any polyp detected in the gastrointestinal image?",evidence of a colonoscopy procedure with no polyp detected and findings consistent with ulcerative colitis.,Multi-Choice
train,1872,cla820gmys6f7071u4py0f9we,What abnormalities are visible in the image?,evidence of colonic polyp and ulcerative colitis,Multi-Choice
train,2030,clb0kvxwc91zw074y68zqfa9c,"What procedure was performed, what abnormalities are present, and is polyp removal relevant in this gastrointestinal image?","gastroscopy was performed, evidence of oesophagitis is present, and polyp removal is not relevant in this case.",Multi-Choice
train,2289,clb0kvxve90k0074y15po5cmu,"What procedure was performed, what abnormalities are present, and is there any polyp observed in the gastrointestinal image?",gastroscopy shows no polyp and evidence of esophagitis.,Multi-Choice
train,3321,clb0kvxwo92ho074y3eh3h9xq,"What abnormalities, procedures, and anatomical landmarks are visible in the image?","evidence of oesophagitis, gastroscopy procedure, and z-line anatomical landmark are present.",Multi-Choice
train,3737,cla820glgs4fv071uf4ux93ks,What abnormalities are present in the image and is there any text visible?,findings suggestive of inflammatory bowel disease with no text noted.,Multi-Choice
train,3946,cla820gmfs5nr071ueghc9d0l,"In the image, is there any instrument present, are there green/black box artefacts, and what abnormalities are visible?","no instruments are visible, no green or black box artefacts are present, and there is evidence of ulcerative colitis.",Multi-Choice
train,4350,clb0lbwzcdp0k086uepk7308m,"What abnormalities, instruments, and artefacts are visible in the image?","no green/black box artefact is present, and a polyp with a snare is observed.",Multi-Choice
train,5652,cla820gmss68b071u8m268bbr,"What abnormalities, anatomical landmarks, and artifacts are visible in the image?","evidence of ulcerative colitis is present, with landmarks seen in the central and upper regions, and no green or black box artifacts are noted.",Multi-Choice
train,6217,clb0kvxuv8zs0074yc3da22oc,"What abnormalities, instruments, and procedure details are visible in the gastrointestinal image?",evidence of oesophagitis is present without any visible instruments from a gastroscopy procedure.,Multi-Choice
train,6355,cla820gmts68z071u5vbz89tw,"What procedure is depicted in the image, and what abnormalities are present?",findings are consistent with ulcerative colitis involving the colon.,Multi-Choice
train,6535,cla820gl2s3qb071u5u6c3vmq,"What abnormalities, anatomical landmarks, and procedural details can be identified in the gastrointestinal image?","no anatomical landmarks are visible, and no evidence of ulcerative colitis is present, with the image originating from a colonoscopy.",Multi-Choice
train,6750,cl8k2u1qe1ern0832hpgj7kgo,"What abnormalities, text, and procedure are visible in the gastrointestinal image?","presence of a polyp, text visible, and the image is from a colonoscopy procedure.",Multi-Choice
train,7079,cla820gmps63z071u9nfpaxel,"What procedure is depicted in the image, what abnormalities are present, and are there any anatomical landmarks visible?",the image shows a colonoscopy with evidence of ulcerative colitis and no visible anatomical landmarks.,Multi-Choice
train,7517,cla820gl2s3qf071u1ndiftcx,What procedure is depicted in the image and what abnormalities are present?,findings are consistent with ulcerative colitis observed during colonoscopy.,Multi-Choice
train,7661,cl8k2u1r61fo30832h6258vxs,"What abnormalities, procedure, and instruments are visible in the image?",a single instrument is visible during a colonoscopy with a detected polyp.,Multi-Choice
train,7677,clb0kvxvb90e0074y9eoq4729,"What procedure was performed, what abnormalities are present, and is there any polyp observed in the gastrointestinal image?","the image is from a gastroscopy, evidence of oesophagitis is present, and no polyp is observed.",Multi-Choice
train,7776,clb0kvxw991u8074y510pg3i3,What procedure is depicted in the image and what findings are present?,evidence of esophageal inflammation is noted during gastroscopy.,Multi-Choice
train,8233,cla820gn4s6jj071u8fhj9kq4,"What abnormalities, procedures, and findings are visible in the gastrointestinal image?","no evidence of ulcerative colitis, the image is from a colonoscopy, and no polyps are present.",Multi-Choice
train,8330,clb0kvxv79088074ycq5xhswt,"What procedure was performed, what anatomical landmarks are visible, and what abnormalities are present in the gastrointestinal image?",gastroscopy reveals the z-line and evidence of oesophagitis.,Multi-Choice
train,8484,cla820glas45b071u1l96gd8e,"What procedure was performed, what abnormalities are visible, and is there any text in the image?","the image is from a colonoscopy, showing evidence of ulcerative colitis, and text is present.",Multi-Choice
train,9157,cla820gmds5l7071ucfhi2562,What procedure is depicted in the image and what abnormalities are present?,procedure indicates colonoscopy with evidence of inflammatory changes in the colon,Multi-Choice
train,9220,cl8k2u1pu1e2z0832adw0h64p,"What abnormalities are visible in the image, what procedure was performed, and what type of polyp is observed?","polypoid lesion detected, consistent with colonoscopy findings, and showing features of a paris ip type polyp.",Multi-Choice
train,9288,cla820gmps64v071ufqru1pyy,"What abnormalities, procedures, and instruments are visible in the gastrointestinal image?",evidence of ulcerative colitis is present without any instruments visible.,Multi-Choice
train,9371,cla820gn7s6mz071u3ofuh8bs,What procedure is shown in the image and what findings are present?,no polyp detected during colonoscopy examination,Multi-Choice
train,9890,cla820gmcs5kr071ubtem3zb1,"What procedure was performed, and what findings are visible in the image regarding polyps?",no polyps are identified on colonoscopy.,Multi-Choice
train,9892,cla820gm0s567071u1ep0fwvf,"What abnormalities, procedures, and polyps are visible in the gastrointestinal image?","no polyps are present, and the image was obtained via colonoscopy with no signs of ulcerative colitis.",Multi-Choice
train,11107,cla820gl9s42b071uhcii678h,"What findings are present in the gastrointestinal image, including polyps, instruments, and anatomical landmarks?","no polyps, instruments, or anatomical landmarks are identified in the image.",Multi-Choice
train,11259,clb0kvxv990a0074y0w7a0rzf,What procedure is depicted in the image and what findings are present?,evidence of no visible polyp observed during gastroscopy.,Multi-Choice
train,11556,cla820gmas5ib071uajh4a5uu,"What anatomical landmarks are visible, what types of artefacts are present, and what abnormalities can be identified in the gastrointestinal image?","evidence of cecal landmark, presence of green/black artefacts, and signs of ulcerative colitis are observed.",Multi-Choice
train,11793,cla820gmgs5q3071udmfyendc,What abnormalities are visible in the gastrointestinal image?,evidence of ulcerative colitis,Multi-Choice
train,13005,cla820glws51f071u3fvq7lru,"What abnormalities, procedures, and anatomical landmarks are visible in the image?",evidence of ulcerative colitis is present along with a cecal landmark from a colonoscopy procedure.,Multi-Choice
train,13071,cla820gm8s5ev071uda60flrc,What procedure is depicted in the image and what abnormalities are present?,evidence of ulcerative colitis observed during colonoscopy,Multi-Choice
train,13434,cl8k2u1s71gwv08321e39ec5z,"Which anatomical landmarks are visible, what abnormalities are present, and is there any green/black box artefact in the image?","no anatomical landmarks are identified, a single polyp is present, and no green or black box artefacts are observed.",Multi-Choice
train,13622,clb0kvxw691ow074yfcq1auo4,"What procedure is depicted in the image, what abnormalities are present, and is there a green/black box artefact?",the image shows a gastroscopy with evidence of oesophagitis and no green or black box artefact present.,Multi-Choice
train,13912,clb0kvxw991uo074y50gz2uck,"What abnormalities are present, what procedure was performed, and are there any instruments visible in the image?",evidence of oesophagitis is present with no instruments observed in the field of view.,Multi-Choice
train,14033,cl8k2u1rl1gc708321vp3fdu2,"What abnormalities are visible, what procedure was performed, and what type of polyp is seen in the image?","findings include a polyp, the image is from a colonoscopy, and the polyp appears to be a paris ip type.",Multi-Choice
train,14376,clb0lbwzbdoz4086ucmxa563i,"What abnormalities are visible in the image, what procedure was performed, and what type of polyp is observed?","multiple polyps are identified, the image is from a colonoscopy, and a paris classification polyp is present.",Multi-Choice
train,14432,cl8k2u1rk1gan08322ok384ec,"What abnormalities, artifacts, and procedural details can be identified in the gastrointestinal image?","no box artifact is present, a single polyp is observed, and the image was obtained during a colonoscopy.",Multi-Choice
train,14517,cla820gmps63r071ubhdh4alg,"What abnormalities, procedures, and findings are visible in the image?","no polyp is visible, and the image shows findings consistent with ulcerative colitis obtained via colonoscopy.",Multi-Choice
train,14828,clb0kvxvz91ew074yf9d37i2x,"What abnormalities, anatomical landmarks, and polyps are present in the image?","evidence of oesophagitis is present, the z-line is visible, and no polyps are observed.",Multi-Choice
train,14996,cla820gmms5zj071u3igl0m5n,"What procedure is shown in the image, are there any remaining polyps, and what abnormalities are present?",the image shows a colonoscopy with no remaining polyps and evidence of ulcerative colitis.,Multi-Choice
