split,index,image_id,question,answer,question_type
train,1,cl8k2u1r71foz083278j63qnm,What procedure is depicted in the image and what type of polyp is observed?,evidence of a colonoscopy with a paris iia polyp noted,Single-Choice
train,5,cla820gn7s6nb071u382u7155,What procedure is depicted in the image and is there any visible instrument?,image obtained during colonoscopy with no visible instruments,Single-Choice
train,7,clb0kvxvh90q4074y1gxmb64k,What procedure is depicted in the image and is there a green/black box artifact present?,gastroscopy findings show no green/black box artifact present.,Single-Choice
train,26,clb0kvxur8zo0074yds4ebqyd,Which anatomical landmarks are visible in the image?,evidence of z-line formation,Single-Choice
train,47,clb0kvxw091h8074ycl7pc8cp,What type of polyp is identified in the colon?,no polyp detected,Single-Choice
train,50,clb0kvxvd90ig074yb6in8d04,What procedure is depicted in the image?,evidence of upper gastrointestinal endoscopy,Single-Choice
train,67,cla820glis4jf071u1vl5gjhg,Which anatomical landmark is visible in the image?,no anatomical landmarks identified,Single-Choice
train,68,cla820gmhs5r3071u9kex46xk,What procedure is being visualized in this image?,evidence of colonoscopy procedure,Single-Choice
train,72,clb0lbx1jdqi4086u71rn5v5x,Which instruments are visible in the image?,tube visible in the gastric region,Single-Choice
train,74,clb0kvxwo92ik074y2g4365ru,"What procedure is the image from, what instruments are visible, and which anatomical landmarks are present?",image from gastroscopy with no instruments visible and z-line observed,Single-Choice
train,78,clb0kvxvi90ro074y5mg540by,"What procedure is shown in the image, are there any instruments visible, and is the removal of polyps indicated?",the image shows a gastroscopy with no instruments visible and no evidence of polyp removal required.,Single-Choice
train,86,clb0kvxwj9298074yfowacyka,What type of polyp is observed in the colon?,no polypoid lesions identified,Single-Choice
train,100,clb0kvxw291j4074yff7m9fc3,What procedure is depicted in the image?,procedure of upper gastrointestinal endoscopy,Single-Choice
train,103,cla820gmxs6e3071u2ioi80b5,"What type of polyp is present, is there a green/black box artefact, and are there any abnormalities such as ulcerative colitis in the image?","no polyp identified, no artefact noted, and evidence of ulcerative colitis present",Single-Choice
train,142,cl8k2u1qb1emf0832hhnhdj47,What is the type of polyp identified?,adenomatous polyp of the rectosigmoid region,Single-Choice
train,144,clb0kvxw191ho074y2dn98yu8,What type of polyp is observed in the gastrointestinal tract?,no polypoidal lesions detected,Single-Choice
train,179,cl8k2u1pr1dzn0832dry8fwxi,What procedure was performed and what type of polyp is identified in the image?,findings are consistent with a colonoscopy showing a paris classification polyp.,Single-Choice
train,181,clb0kvxv8908w074y12lcdpnx,What procedure is depicted in the image and is there any visible instrument?,no instrument is visible in the gastroscopy images,Single-Choice
train,196,cla820glys53n071uhthh6bvs,What type of polyp is observed in the gastrointestinal tract?,no polypoid lesions identified,Single-Choice
train,227,cl8k2u1pu1e3z0832boad4onn,What is the type of polyp observed?,polyp with sessile morphology,Single-Choice
train,229,cl8k2u1qy1fgf0832e2f84l66,What procedure is depicted in the image?,evidence of colonoscopy procedure,Single-Choice
train,240,clb0kvxuw8zt8074ydgee41wh,What type of polyp is present and are there any abnormalities in the image?,no polyp identified; evidence of esophagitis present,Single-Choice
train,249,cl8k2u1s41gsv0832gp096j7w,Which anatomical landmark is visible in the image and what instruments are present?,no anatomical landmarks or medical instruments are visible,Single-Choice
train,262,clb0lbwzddp1o086u5373e13q,From which type of procedure was this image obtained?,evidence of colonoscopic examination,Single-Choice
train,297,clb0kvxvt9178074y2uycfnk9,What procedure is depicted in the image and are there any polyps present?,the image shows a gastroscopy with no evidence of polyps.,Single-Choice
train,300,clb0kvxv5904g074yf9so0s07,Which anatomical landmarks are visible in the image?,evidence of z-line formation,Single-Choice
train,307,cla820gn6s6mf071uftqbgg3l,"Which anatomical landmark is visible in the image, and what procedure was performed?","no anatomical landmark identified, colonoscopic examination performed",Single-Choice
train,315,cla820gl3s3t3071udcwfd8g1,Which anatomical landmark is visible in the image?,no anatomical landmark identified,Single-Choice
train,320,cl8k2u1r61fn308328j7x6toq,What procedure is depicted in this image?,evidence of colonoscopic visualization,Single-Choice
train,328,clb0kvxwk92c0074ygtktalp3,What type of polyp is present and are there any anatomical landmarks in the image?,"no polyp identified, z-line visible",Single-Choice
train,342,clb0kvxv990b4074y4ot3gmi8,Which anatomical landmark is visible in the image?,located in central and upper-left regions,Single-Choice
train,344,clb0kvxwm92e8074y8kxlai4n,Which anatomical landmark is visible in the image?,no anatomical landmark identified,Single-Choice
train,348,clb0lbwz4dor8086u8fvi399d,Which procedure is depicted in this image?,procedure performed with colonoscope,Single-Choice
train,370,clb0kvxv5904o074yh0my1eow,Which anatomical landmarks can be identified in the image?,presence of z-line structure,Single-Choice
train,378,clb0lbx09dq9g086u2esi20qa,What procedure is depicted in the image?,evidence of colonoscopy procedure,Single-Choice
train,396,clb0kvxv990b4074y4ot3gmi8,What procedure is depicted in the image?,evidence of upper gastrointestinal endoscopy,Single-Choice
train,413,clb0kvxvz91fc074y6cii2iyi,Identify the presence of any instruments and the type of procedure shown in the image.,no instruments are visualized within the gastrointestinal tract.,Single-Choice
train,417,cla820gmus6az071u6d044g0a,What type of polyp is present and are there any anatomical landmarks visible?,"no polyp identified, no anatomical landmarks noted",Single-Choice
train,419,cl8k2u1q21eef083211d64tnv,What type of polyp is observed in the gastrointestinal tract?,evidence of paris iia polypoid lesion,Single-Choice
train,420,clb0kvxv7906s074yfbj0gei6,Which anatomical landmarks are visible in the image?,evidence of z-line visualization,Single-Choice
train,442,clb0kvxv3900s074y30z72u38,What procedure is depicted in the image and are there any green or black box artifacts present?,no green or black box artifacts are observed in the image.,Single-Choice
train,448,clb0kvxut8zpw074ydmnr8f6l,What type of polyp is observed?,no polyp detected in the colon,Single-Choice
train,472,clb0lbwzndpd8086u4kuw95sg,From which procedure was this image obtained?,evidence of colonoscopy procedure,Single-Choice
train,482,clb0kvxwj92ag074yeh9u6r4w,Which anatomical landmarks are visible in the image?,visible z-line at gastroesophageal junction,Single-Choice
train,504,cla820glss4wv071u9ine5505,Which anatomical landmarks are visible in the image?,evidence of cecal structure,Single-Choice
train,534,clb0kvxwl92co074yen9odmy7,Which anatomical landmark is visible in the image?,no anatomical landmarks identified,Single-Choice
train,546,cla820glcs47r071ufos036pr,What procedure is depicted in the image?,evidence of colonoscopic examination,Single-Choice
train,554,clb0kvxwn92h4074y4mwe25wx,What type of polyp is observed in the gastrointestinal tract?,no polypoid lesions detected,Single-Choice
train,562,cl8k2u1po1dyf08328p936k73,What type of polyp is observed in the gastrointestinal tract?,adenomatous polyp detected,Single-Choice
train,582,clb0kvxw391l0074yhcswfun8,Which anatomical landmarks are visible in the image?,multiple landmarks located in central and upper regions,Single-Choice
train,592,clb0kvxwk92bo074yftfd0pno,What procedure was performed to obtain this image?,gastroscopic examination performed,Single-Choice
train,614,cla820glms4nz071u1nfwfqxg,"What type of polyp is present, is there any text visible, and are there any instruments in the image?","no polyps identified, text is visible, and no instruments are present in the field.",Single-Choice
train,617,cla820glos4qf071ucr136se5,What procedure is depicted in the image and is there any textual content visible?,procedure appears to be colonoscopy with visible textual markings,Single-Choice
train,622,clb0lbwzodpeg086u6trvbspz,What procedure is depicted in the image?,evidence of colonoscopy procedure,Single-Choice
train,628,cl8k2u1r31fj70832dpks1mmi,What procedure is depicted in this image?,evidence of colonoscopy procedure,Single-Choice
train,635,cla820glbs46v071u6gyo8zmj,Identify the anatomical landmark and assess for any abnormalities in the image.,"no anatomical landmark identified, evidence of ulcerative colitis present.",Single-Choice
train,651,clb0lbx05dq28086u436708sf,From which procedural examination was this image obtained?,evidence of colonoscopy procedure,Single-Choice
train,658,clb0kvxwk92as074y918n8yx5,Which anatomical landmark is visible in the image?,no anatomical landmarks identified,Single-Choice
train,665,clb0lbx09dq9o086ubrsjbj3u,Which procedure is depicted in the image?,evidence of colonoscopy procedure,Single-Choice
train,692,cl8k2u1qw1fdr0832h1ezdq2q,What procedure is depicted in the image?,evidence of colonoscopy procedure,Single-Choice
train,695,clb0lbx02dpxc086uhg2r1uca,"What procedure is depicted in the image, and are there any text elements or green/black box artefacts present?",the image shows a colonoscopy with visible text and no green or black box artefacts.,Single-Choice
train,696,clb0kvxwf924s074y379c48am,Which anatomical landmark is visible in the image?,no anatomical landmarks identified,Single-Choice
train,716,cla820gmgs5p7071u49yd2qp7,What type of polyp is observed?,no polyp detected,Single-Choice
train,732,clb0kvxvl90w8074y800katqf,Which anatomical landmarks are visible in the image?,evidence of z-line appearance,Single-Choice
train,745,cla820gn7s6nj071u6ox5563e,Which anatomical landmarks are visible in the image?,no anatomical landmarks identified,Single-Choice
train,746,clb0lbwyndobs086u9eb1ckwb,What procedure is depicted in the image?,evidence of colonoscopy procedure,Single-Choice
