class,precision,recall,f1,support,tp,fp,fn
a 11-20mm polyp is present without any green/black box artefact.,0.0,0.0,0.0,1,0,0,1
a 15-millimeter polyp is noted in the colon during a colonoscopy.,0.0,0.0,0.0,1,0,0,1
a 15-millimeter polyp is present in the colon during a colonoscopy examination.,0.0,0.0,0.0,1,0,0,1
a 5- to 10-millimeter polyp is present in the colon during a colonoscopy.,0.0,0.0,0.0,1,0,0,1
"a 5- to 10-mm polyp is observed, consistent with a paris ip classification.",0.0,0.0,0.0,1,0,0,1
a 5-10mm polyp is present in the colon during a colonoscopy.,0.0,0.0,0.0,1,0,0,1
a 5-10mm polyp is present without any text elements visible.,0.0,0.0,0.0,1,0,0,1
a hyperplastic polyp measuring between 11 and 20 millimeters is present.,0.0,0.0,0.0,1,0,0,1
a large polyp greater than 20 millimeters in size is present in the colon.,0.0,0.0,0.0,1,0,0,1
a large polyp is present measuring greater than 20 millimeters.,0.0,0.0,0.0,1,0,0,1
"a large polyp is present, measuring greater than 20 millimeters in size.",0.0,0.0,0.0,1,0,0,1
a large polyp measuring greater than 20 millimeters is present.,0.0,0.0,0.0,1,0,0,1
a moderately sized tubular adenoma is identified in the colon.,0.0,0.0,0.0,1,0,0,1
a pedunculated polyp is identified in the colonic region.,0.0,0.0,0.0,1,0,0,1
a pedunculated polyp measuring 11 to 20 millimeters is present.,0.0,0.0,0.0,1,0,0,1
a polyp is present with a size ranging between 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
"a polyp measuring 11 to 20 millimeters is present, consistent with a paris classification type.",0.0,0.0,0.0,1,0,0,1
a polyp measuring between 11 to 20 millimeters is present in the examined area.,0.0,0.0,0.0,1,0,0,1
a polyp measuring between 11 to 20 millimeters is present.,0.0,0.0,0.0,1,0,0,1
a single 5-10mm polyp is present without any instruments.,0.0,0.0,0.0,1,0,0,1
a single polyp is identified without artefact or additional findings.,0.0,0.0,0.0,1,0,0,1
a single polyp is identified without evidence of artifact.,0.0,0.0,0.0,1,0,0,1
a single tube is present,0.0,0.0,0.0,2,0,0,2
a single tube is present in the field and no definitive evidence of polyp removal is observed.,0.0,0.0,0.0,1,0,0,1
a single tube is present in the gastrointestinal tract and polyp removal is not indicated.,0.0,0.0,0.0,1,0,0,1
a single tube is present in the image. text is visible.,0.0,0.0,0.0,2,0,0,2
a single tube is present in the upper-left quadrant. polyp removal is not pertinent to this finding.,0.0,0.0,0.0,1,0,0,1
a single tube is visible in the abdominal region and text is present in the image.,0.0,0.0,0.0,1,0,0,1
a single tube is visible in the field of view with no text detected.,0.0,0.0,0.0,1,0,0,1
a single tube is visible in the gastrointestinal tract and no polyps are present.,0.0,0.0,0.0,1,0,0,1
a single tube is visible in the gastrointestinal tract and no residual polyps are observed.,0.0,0.0,0.0,1,0,0,1
a single tube is visible in the gastrointestinal tract and polyp removal is not applicable.,0.0,0.0,0.0,1,0,0,1
a single tube is visible in the image with no text detected.,0.0,0.0,0.0,1,0,0,1
a single tube is visible in the image. text is present.,0.0,0.0,0.0,1,0,0,1
"a single tube is visualized in the gastrointestinal tract, and no polyps are noted.",0.0,0.0,0.0,1,0,0,1
"a single tubular device is visualized within the gastrointestinal tract, and no residual polyps are identified.",0.0,0.0,0.0,1,0,0,1
"a single tubular structure is present, and text is visible.",0.0,0.0,0.0,1,0,0,1
a single tubular structure is visible in the image and text is present.,0.0,0.0,0.0,1,0,0,1
a small polyp is observed measuring between 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
a small polyp is present measuring between 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
"a small polyp is present, measuring less than 5 millimeters in size.",0.0,0.0,0.0,1,0,0,1
"a small polyp is present, observed during a colonoscopy.",0.0,0.0,0.0,1,0,0,1
"a small polyp is visible, measuring between 11 to 20 millimeters in size.",0.0,0.0,0.0,1,0,0,1
a small polyp measuring less than 5 millimeters is present.,0.0,0.0,0.0,1,0,0,1
a tube is present in the abdominal region,0.0,0.0,0.0,1,0,0,1
a tube is visible in the abdominal region,0.0,0.0,0.0,1,0,0,1
a tube is visible in the image and a polyp measuring 5 to 10 millimeters is present.,0.0,0.0,0.0,1,0,0,1
adenomatous polyp detected,0.0,0.0,0.0,3,0,0,3
adenomatous polyp identified,0.0,0.0,0.0,1,0,0,1
adenomatous polyp noted,0.0,0.0,0.0,3,0,0,3
adenomatous polyp noted in the rectosigmoid region,0.0,0.0,0.0,1,0,0,1
adenomatous polyp seen in the colon,0.0,0.0,0.0,1,0,0,1
adenomatous polyp seen in the rectum,0.0,0.0,0.0,1,0,0,1
adenomatous polyp with sessile configuration,0.0,0.0,0.0,1,0,0,1
adenomatous polyp with tubular architecture,0.0,0.0,0.0,1,0,0,1
adenomatous polyp with tubular features,0.0,0.0,0.0,1,0,0,1
adenomatous polyp with tubular morphology,0.0,0.0,0.0,1,0,0,1
adenomatous polyp with villous features,0.0,0.0,0.0,3,0,0,3
all polyps have been completely removed,0.0,0.0,0.0,1,0,0,1
"anatomical landmarks are distributed in central and upper regions, and no polyps are present.",0.0,0.0,0.0,1,0,0,1
biopsy forceps and metal clip present,0.0,0.0,0.0,1,0,0,1
biopsy forceps are present and a polyp measuring 11 to 20 millimeters is observed.,0.0,0.0,0.0,1,0,0,1
biopsy forceps are present in the field and no polyp is observed.,0.0,0.0,0.0,1,0,0,1
biopsy forceps are visible and no residual polyps are present.,0.0,0.0,0.0,1,0,0,1
