split,index,image_id,question,answer,question_type
train,13,clb0kvxv08zxw074y66p98vyy,Where in the image are the anatomical landmarks located and what colors are the abnormalities observed?,"anatomical landmarks are distributed across central and upper regions with multiple abnormal areas showing pink, red, and white hues.",Color
train,23,cla820gmcs5jz071ugaan7799,What are the colors of the observed abnormalities?,"lesions presenting as pink, red, and white areas",Color
train,46,cl8k2u1pz1eaz0832c6w8a7jf,What are the colors of the observed abnormalities?,"red, flesh-colored, and white lesions",Color
train,57,cla820glfs4dj071u1y9ba7ic,"What color is the abnormality, what is the size of the polyp, and are there any instruments visible in the image?",no polyp is present and no instruments are visible in the image.,Color
train,63,clb0kvxwb91xk074ydr93azjz,"How many findings are present, what colors are the abnormalities, and is there any instrument visible in the image?","there is a single finding with multiple colors including pink, red, and white, and no instrument is present.",Color
train,64,clb0kvxv08zx4074yhidlh8k8,How many findings are present and what are the colors of the abnormalities?,"two distinct abnormalities observed with colors including pink, red, and white.",Color
train,110,cla820glqs4tr071u8yh6havq,"What type, size, and color of polyp or abnormality is present in the gastrointestinal tract?",no polyp identified with no color variation observed,Color
train,119,clb0kvxv6906c074y5ii1dxsi,What colors are observed in the abnormal lesion?,"lesion exhibiting pink, red, and white areas",Color
train,120,clb0lbx1mdqok086uc3j1dzjl,What are the colors of the abnormalities observed?,"lesions displayed white, pink, and grey hues",Color
train,125,clb0kvxw391l4074y75b343au,"What are the color characteristics of any abnormality, the size of the polyp, and the number of polyps visible in the image?","no polyps are visible, and no abnormal colorations are present.",Color
train,129,clb0kvxwp92jw074y97i96bmu,"Where in the image are the abnormalities located, what is the size of the polyp, and what colors are observed in the affected areas?","abnormalities are distributed across multiple regions including central, upper, and lower quadrants, no polyp is present, and the lesions show pink, red, and white hues.",Color
train,132,cla820gn7s6n3071udc5324za,"What are the colors of the abnormality, where is the instrument located, and is there a green/black box artefact present?","abnormalities show pink, red, and white areas with no instrument visible and no green/black box artefact present.",Color
train,133,cla820gn6s6lz071u7srk70v5,"What are the colors of the abnormality, where is the anatomical landmark located, and are all polyps removed?","the abnormality shows multiple colors including pink, red, and white, no anatomical landmark is visible, and the removal status of polyps is not relevant.",Color
train,140,clb0kvxvf90lg074y3t1ccksv,"What color is the abnormality, what anatomical landmarks are present, and what abnormalities are seen in the image?",multiple pink and white lesions are present with z-line seen and evidence of oesophagitis,Color
train,178,clb0lbx1odqs0086u7t3beja3,"What is the size, color, and number of polyps visible in the image?",one polyp measuring 11 to 20 millimeters with blue and green discoloration is present.,Color
train,180,clb0kvxwl92dc074ybmezf2dn,"What colors are observed in the abnormal areas, is there any text present, and is there an instrument visible in the image?","multiple colored lesions including pink, red, and white are present without any text or visible instruments.",Color
train,197,cl8k2u1s41gsv0832gp096j7w,What colors are observed in the abnormal areas and are there any instruments visible?,"multiple colored lesions noted including red, pink, brown, and yellow with no instruments present",Color
train,199,cl8k2u1qq1f430832679yejq4,"What procedure is depicted in the image, what is the color of the abnormality, and where in the image is the abnormality located?","the image shows a colonoscopy with red-colored abnormalities scattered in the center-right, lower-center, and lower-right regions.",Color
train,208,clb0kvxvl90x4074yd3joclty,What color and location are the abnormalities seen in the image?,multiple colored lesions scattered across central and upper regions,Color
train,232,clb0kvxuq8zmw074ya45k4874,What type of polyp is present and what are the colors of the abnormality?,no polyp identified with multiple colored lesions observed,Color
train,245,cla820glus4yf071ufp7e4p4s,What type of polyp is present and what color is the abnormality?,no polyps observed with pink and red areas noted,Color
train,257,cla820gm2s57v071u2vobeeor,"What colors are observed for the abnormality, and is there a green or black box artifact present?","multiple colored lesions noted, no green or black box artifact present",Color
train,259,clb0kvxv59048074yc5km1cks,What colors are observed in the abnormal areas and is polyp removal pertinent?,multiple red and white lesions are present; polyp removal is not applicable,Color
train,276,clb0kvxwk92cc074yfa051m7o,"Where in the image are there any anatomical landmarks, is there a green/black box artefact, and what colors are associated with any abnormalities?","no anatomical landmarks are visible, no green/black box artefact is present, and multiple colors including pink, red, and white are noted.",Color
train,282,cla820gmgs5p3071uczbse9k3,What are the colors of the observed abnormalities?,"abnormalities show pink, yellow, and white discoloration",Color
train,284,clb0kvxvd90hs074y5lz2hy80,"What color abnormalities are present, what instruments are visible, and what procedure was performed?","multiple colored lesions noted, no foreign bodies identified, and the image is from a gastroscopic examination.",Color
train,304,clb0kvxvb90es074yeitt0sfx,What are the colors of the observed abnormalities?,"abnormalities appear pink, red, white, and grey",Color
train,332,clb0kvxv990bg074y533g3dou,What colors are observed in the abnormal areas and what is the size of the polyp?,"multiple color variations including pink, red, and white with no visible polyp present",Color
train,336,cl8k2u1r31fiv083297zwgujo,What color is the abnormal lesion observed?,pink-colored lesion noted,Color
train,385,clb0kvxv4902k074ye3k8aqnb,What colors are observed in the abnormality?,"areas of pink, red, and white discoloration",Color
